principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
tapped	<u><b>tapped</b></u>:escoado. <u><b>tapped</b></u>:explorado,sapateado.		"08.  To draw <font color=""#00aaff""><u>(liquid)</font></u> from a vessel or container."		batido	(45)bateu,(56)grampeado,(54)aproveitado,(85)sob escuta		,aproveitado							hit lightly,pierce to drain																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-tapped.mp3]						tæp	tæp																						
taped					gravado	(101)gravou,(57)gravei,(192)gravado,(81)colado									ribbon of material,stick together with material,record sounds, sights																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-taped.mp3]						teɪp	teɪp																						
stakes	<u><b>stakes</b></u>:estacas.		"03.  To keep <font color=""#00aaff""><u>(a building, for example)</font></u> under surveillance."		estacas	(353)estacas,(189)riscos,(115)participações,(98)aposta	participações,aposta								pole,bet, wager,share, investment																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-stakes.mp3]						steɪk	steɪk																						
specialty	<u><b>specialty</b></u>:especialidade,especialização	1. a product that is extremely good in a particular place. <BR>2. a subject that someone knows a lot about.			(3)especialidade	(2105)especialidade	especialidade		especialidade						distinctive feature; concentration																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-specialty.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-cdo0318usspec4661.mp3]				(ˈspɛʃ əl ti)	ˈspeʃəltɪ	ˈspɛʃ əl ti					"<span class=""ipa dipa"">ˈspeʃ.<span class=""sp dsp"">ə</span>l.ti</span>"																	
snooping	<u><b>snooping</b></u>:bisbilhotice,xeretice,enxerimento. <u><b>snooping</b></u>:intrometido,mexeriqueiro,bisbilhoteiro.				bisbilhotando	(252)bisbilhotar	bisbilhotar								nose around																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-snooping.mp3]					(snup)	snuːp	snup																						
shoots			"<BR>01.  To fire or let fly <font color=""#00aaff""><u>(a missile)</font></u> from a weapon.<BR><BR>01.  To send forth or discharge <font color=""#00aaff""><u>(a missile)</font></u> from a weapon.<BR>02.  To discharge <font color=""#00aaff""><u>(a weapon)</font></u>."		bisbilhotando	(444)atira,(321)dispara,(255)brotos,(151)rebentos		,rebentos							discharge a projectile, often to injure or kill,dash																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-shoots.mp3]					(ʃut)	ʃuːt,ʃuːts	ʃut																						
rendezvous	<u><b>rendezvous</b></u>:rendez-vous. <u><b>rendezvous</b></u>:encontro,entrevista,ponto de encontro. <u><b>to rendezvous</b></u>:encontrar-se em hora e lugar marcado	1. an arrangement to meet someone, especially secretly, at a particular place and time, or the place itself.	"01.  <font color=""#00aaff""><u>(Astronautics)</font></u> an arranged meeting of two spacecraft."		(3)encontro	(623)encontro	encontro	encontro	reunião,local de reunião						get-together,place for get-together,meet, often secretly																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-rendezvous.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-rendezvous.mp3]				(ˈrɑn dəˌvu, -deɪ-)	ˈrɒndɪvuː	"ˈrɑn dəˌvu, -deɪ-; <span class=""luna-label italic"">French</span> rɑ̃ dɛˈvu"					"<span class=""ipa dipa"">ˈrɑːn-</span>"																	
pentagon	<u><b>pentagon</b></u>:pentágono.	1. a flat shape with five straight sides.			(3)pentágono	(2457)pentágono	pentágono	pentágono	pentágono	<b>pentagon</b>  pentágono					five of something																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-pentagon.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus73480.mp3]				(ˈpɛn təˌgɒn)	ˈpentəgən	ˈpɛn təˌgɒn, -gən					"<span class=""ipa dipa"">ˈpen.t̬ə.ɡɑːn</span>"		
leverage	<u><b>leverage</b></u>:alavancagem. <u><b>to leverage</b></u>:alavancar	1. the power to influence people in order to get what you want.	"01.  <font color=""#00aaff""><u>(Mechanical Engineering)</font></u> the action of a lever."		(3)passageiro	(336)aproveitar,(497)alavancagem,(682)alavancar,(522)vantagem	aproveitar,·impulsionado,·alavanca	alavancagem,·impulsionado,alavancar,·alavanca	influência	<b>leverage</b>  <b>1.</b> poder <b>2.</b> influência					influence																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-leverage.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-leverage.mp3]				(ˈlɛv ər ɪdʒ, ˈlɛv rɪdʒ; ˈli vər ɪdʒ, -vrɪdʒ)	ˈliːvərɪʤ	ˈlɛv ər ɪdʒ, ˈli vər-					"<span class=""ipa dipa"">ˈlev·ər·ɪdʒ</span>, <span class=""ipa dipa"">ˈli·vər·ɪdʒ</span>"																	
jeopardize	<u><b>to jeopardize</b></u>:comprometer,pôr em risco,expor a riscos.	1. to put something in a situation where there is a risk of failing or being harmed.			(3)passageiro	(88)pôr em risco,(81)arriscar,(196)comprometer,(99)prejudicar	comprometer,prejudicar		comprometer,arriscar,pôr em perigo						endanger																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-jeopardize.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-jeopardize.mp3]				(ˈdʒɛp ərˌdaɪz)	ˈʤepədaɪz	ˈdʒɛp ərˌdaɪz					"<span class=""ipa dipa"">ˈdʒep·ərˌdɑɪz</span>"																	
janitor	<u><b>janitor</b></u>:encarregado de limpeza	1. a person whose job is to clean and take care of a building.			(3)passageiro	(543)zelador	zelador,·porteiro	zelador,·porteiro	zelador,-ora						person who cleans and maintains																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-janitor.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus72630.mp3]				(ˈdʒæn ɪ tər)	ˈʤænɪtə	ˈdʒæn ɪ tər					"<span class=""ipa dipa"">ˈdʒæn·ɪ·t̬ər</span>"																	
clueless	<u><b>clueless</b></u>:burro	1. having no knowledge of something, or of things in general.			(3)comunista	(16)sem pistas,(39)ignorante,(39)sem noção,(17)à nora	ignorante	ignorante	sem noção	<b>clueless</b>  ignorante <b>not to have a clue</b> não fazer ideia					confused,unsophisticated																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-clueless.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usclint026.mp3]				(ˈklu lɪs)	ˈkluːlɪs	ˈklu lɪs																						
cattle	<u><b>cattle</b></u>:gado,rês,boiada,gado bovino.	1. cows kept on a farm for their milk and meat.	"01.  <font color=""#00aaff""><u>(Animals)</font></u> Also called."		(3)gado	(4569)gado	·pecuária,gado	·pecuária,gado	gado	<b>cattle</b> &nbsp;gado					bovine animals																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-cattle.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus70727.mp3]				(ˈkæt l)	kætl	ˈkæt l					"<span class=""ipa dipa"">ˈkæt̬·<span class=""sp dsp"">ə</span>l</span>"																	
bidding	<u><b>bidding</b></u>:lançamento.				(3)licitação	(668)licitação	licitação	,licitação		<b>bidding</b>  licitação					command,offering of money, services																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-bidding.mp3]					(ˈbɪd ɪŋ)	ˈbɪdɪŋ,bɪd	ˈbɪd ɪŋ																						
shaped	<u><b>shaped</b></u>:perfilado.	1. used after nouns to mean ‘having a particular shape’.			mais curta	(491)moldado,(726)forma	modelado,moldado,forma,·formado	modelado,·formado	com forma de…	<b>shaped</b>  em forma de					form, create,devise, plan																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-shaped.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-usshale025.mp3]					ʃeɪp,ʃeɪps,ʃeɪpt	ʃeɪpt					"<span class=""ipa dipa"">ˌʃeɪpt</span>"																	
savings	<u><b>savings</b></u>:poupança,pecúlio.	1. money that you have saved, usually in a bank.			(3)poupança,(3)economias	(2527)poupança,(1265)economia,(1538)economias	poupança,economia		poupança	<b>savings</b>  economias					provision for future																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-savings.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-savings.mp3]					ˈseɪvɪŋz,ˈseɪvɪŋ	ˈseɪ vɪŋ					"<span class=""ipa dipa"">ˈseɪ·vɪŋz</span>"																	
mojo	<u><b>mojo</b></u>:encanto.														illegal drug,smack																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-mojo.mp3]					(ˈmoʊ dʒoʊ)	ˈməʊʤəʊ	ˈmoʊ dʒoʊ																						
lure	<u><b>lure</b></u>:engodo,isca,chamariz. <u><b>to lure</b></u>:atrair,iludir,seduzir,engodar	1. the power to attract people. <BR>2. to persuade someone to go somewhere or do something by offering them something exciting.	"06.  To recall <font color=""#00aaff""><u>(a falcon)</font></u> with a lure."		(3)atrair,(3)seduzir,(3)isca	(1139)atrair	atrair,·atração,isca,fascínio,·seduzir,engodo	·seduzir,atrair,isca,·atração	fascínio,atrativo,engodo,atrair	<b>lure</b>  atração  atrair					bait,attract, seduce																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-lure.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-lure.mp3]				(lʊər)	ljʊə	lʊər					"<span class=""ipa dipa"">lʊər</span>"																	
jackass	<u><b>jackass</b></u>:estúpido,babaca. <u><b>jackass</b></u>:burro	1. a  kookaburra .	"01.  <font color=""#00aaff""><u>(Animals)</font></u> a male donkey.<BR>03.  <font color=""#00aaff""><u>(Animals)</font></u> laughing jackass  another name for kookaburra.<BR><BR><BR>"		(3)burro,(3)asno	(579)idiota		,idiota	kookaburra		"<div>1. <font color=""#c7c7c7""><i><u><b> ZOOLOGIA</b></u></i></font>  jumento, burro<br>2. <font color=""#c7c7c7""><i><u><b> coloquial, figurado</b></u></i></font>  (pessoa) burro, estúpido</div>"				a male donkey,a stupid or foolish person,foolish person		01. <b>jackass</b>  figurative (idiot)<BR>02. <b>jackass</b>  (male donkey)																												[sound:7001-8000/thesaurus/7001-8000-thesaurus-jackass.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-jackass.mp3]				(ˈdʒækˌæs)		ˈdʒækˌæs					"<span class=""ipa dipa"">ˈdʒæk.æs</span>"	ˈdʒækæs																
doom	<u><b>doom</b></u>:juízo,julgamento,sentença,condenação. <u><b>to doom</b></u>:condenar,sentenciar,fadar.	1. death, destruction, or any very bad situation that cannot be avoided. <BR>2. to make someone or something certain to do or experience something unpleasant, or to make something bad certain to happen.			desgraça,(3)destino,(3)condenação,(3)condenar		condenação,·desgraça,condenar	,destino,·desgraça	morte,ruína,condenar	<b>doom</b>   desgraça   condenar					fate or decision, usually unpleasant																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-doom.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-doom.mp3]				(dum)	duːm	dum																						
depth	<u><b>depth</b></u>:fundo,profundidade,profundeza,fundura,pontal.	1. the distance from the top of something to the bottom. <BR>2. the quality of having a lot of knowledge or of being able to think seriously about something. <BR>3. in a very detailed way.			(3)profundidade	(7689)profundidade	·profundezas,·intensidade,profundidade	·profundezas,·intensidade,profundidade	profundidade,a fundo	<b>depth</b>  <b>1.</b>  profundidade <b>2.</b>  profundidade					distance down or across,insight, wisdom																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-depth.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-depth.mp3]				(dɛpθ)	depθ	dɛpθ					"<span class=""ipa dipa"">depθ</span>"																	
beautifully	<u><b>beautifully</b></u>:belamente.		"02.  <font color=""#00aaff""><u>Informal </font></u><font color=""#00aaff""><u>(intensifier)</font></u>."		bombas	(586)lindamente,(221)belamente,(261)maravilhosamente,(333)muito bem	lindamente,belamente,maravilhosamente			<b>beautifully</b> lindamente&nbsp;</div><div>					in an attractive or pleasing manner																																				ˈbjuːtəfəlɪ																							
arresting	<u><b>arresting</b></u>:impressionante.	1. very attractive in a way that attracts a lot of attention.			belas	(235)prendendo,(405)prender	prender		impressionante		"<div>1. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  chamativo;  apelativo;  que chama a atenção;  que desperta o interesse<BR>2. <font color=""#c7c7c7""><i><u><b></b></u></i></font>  notável;  admirável;  impressionante</div>"				noticeable		01. <b>arresting</b>  (strikingly notable)<br>02. <b>arrest </b>  (police: take into custody)<br>03. <b>arrest </b>  (to slow or stop something)<br>04. <b>arrest </b>  (to catch and hold)<br>05. <b>arrest warrant,</b>  (document authorizing arrest)<br>06. <b>house arrest</b>  (imprisonment in one's home)<br>07. <b>arrest</b>  (legal taking into custody)<br>08. <b>arrest</b>  (act of stopping)<br>09. <b>arrest </b>  (medicine: stop growth)<br>10. <b>cardiac arrest</b>  (sudden heart failure)	01. attracting a lot of attention; very attractive				"01. <font color=""#c7c7c7""><i>Attracting or capable of attracting attention or interest; striking</i></font><br><font color=""#c7c7c7""><i>Atrair ou ser capaz de atrair a atenção ou o interesse;</i></font><br><b>""An <font color=""#ff0000"">arresting</font> smile""</b><div><i>""Um sorriso prendedor""</i><div><i><br></i>02. <font color=""#c7c7c7""><i>Making or having made an arrest</i></font><br><font color=""#c7c7c7""><i>Fazer ou ter feito uma detenção</i></font><br><b>""The <font color=""#ff0000"">arresting</font> officer""</b></div><div><i>""O agente que o prendeu.""</i></div></div>"	"<b>""The police <font color=""#ff0000"">arrested</font> the suspects.""</b><br><i>""A polícia prendeu os suspeitos.""</i> <i><u><font color=""#aa4444"">prender</font></u></i> <br><br><b>""The police decided to <font color=""#ff0000"">arrest</font> the suspect.""</b><br><i>""A polícia decidiu deter o suspeito.""</i> <i><u><font color=""#aa4444"">deter</font></u></i> <br><br><b>""The medication <font color=""#ff0000"">arrested</font> the spread of the disease.""</b><br><i>""O remédio parou o avanço da doença.""</i> <i><u><font color=""#aa4444"">parar</font></u></i> <br>"																						[sound:7001-8000/thesaurus/7001-8000-thesaurus-arresting.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-arresting.mp3]				(əˈrɛs tɪŋ)	əˈrest	əˈrɛs tɪŋ		əˈrestɪŋ, əˈrɛstɪŋ			"<span class=""ipa dipa"">əˈres.tɪŋ</span>"	əˈrestɪŋ																
approaching					aproximando	(810)se aproximando	aproximando			<b>approaching</b> &nbsp;próximo</div>					nearing																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-approaching.mp3]						əˈprəʊʧ	əˈproʊtʃ																						
vessel	<u><b>vessel</b></u>:navio,vaso,embarcação,recipiente,vasilha.	1. a ship or large boat.	"01.  <font color=""#00aaff""><u>(Aeronautics)</font></u> an aircraft, esp an airship."		(3)vaso,(3)embarcação,(3)recipiente,(3)navio	(5046)navio	·vaso,embarcação,·recipiente,navio	·vaso,·recipiente,navio	embarcação	<b>vessel</b>  <b>1.</b>  recipiente <b>2.</b> navio					ship,container, bowl																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-vessel.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-vessel.mp3]				(ˈvɛs əl)	vesl	ˈvɛs əl					"<span class=""ipa dipa"">ˈves·əl</span>"																	
traitor	<u><b>traitor</b></u>:traidor	1. someone who does something that harms their country, especially by helping its enemies.			(3)traidor	(3151)traidor	traidor	traidor	traidor,-ora	<b>traitor</b>  traidor					person who is disloyal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-traitor.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus74600.mp3]				(ˈtreɪ tər)	ˈtreɪtə	ˈtreɪ tər					"<span class=""ipa dipa"">ˈtreɪ·t̬ər</span>"																	
smug	<u><b>smug</b></u>:metido,presunçoso,convencida,convencido.	1. too pleased or satisfied about something you have achieved or something you know.			(3)presunçoso	(135)convencido,(217)presunçoso	presunçoso	presunçoso	presunçoso	<b>smug</b>  presunçoso					pleased with oneself																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-smug.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-smug.mp3]				(smʌg)	smʌg	smʌg																						
smash	<u><b>smash</b></u>:batida,pancada,colisão,estouro. <u><b>to smash</b></u>:destruir,esmagar,quebrar,amassar.	1. to break into a lot of pieces or to make something do this with a loud noise.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to hit forcefully and suddenly."		(3)presunçoso	(623)esmagar	esmagar,·quebra	esmagar,·quebra	estilhaçar	<b>smash</b> &nbsp;esmagar(-se) <b>.</b>&nbsp;&nbsp;pancada <b>.</b> murro <b>.</b>&nbsp;<div>					collision; defeat,great success,break into pieces,defeat, destroy																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-smash.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-smash.mp3]				(smæʃ)	smæʃ	smæʃ					"<span class=""ipa dipa"">smæʃ</span>"																	
rental	<u><b>rental</b></u>:arrendável. <u><b>rental</b></u>:arrendamento,aluguel,locadora,aluguer.	1. an arrangement to rent something, or the amount of money that you pay to rent something.	"01.  <font color=""#00aaff""><u>(Law)</font></u> a less common name for rent-roll."		(3)quebrar,(3)esmagar,(3)quebra	(2760)aluguer,(1950)aluguel	·arrendamento,aluguer,·locação,aluguel	·locação,aluguel,·arrendamento	aluguel	<b>rental</b>  <b>1.</b> aluguel <b>2.</b> arrendamento					rent																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-rental.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus73935.mp3]				(ˈrɛn tl)	rentl	ˈrɛn tl					"<span class=""ipa dipa"">ˈren·t̬<span class=""sp dsp"">ə</span>l</span>"																	
premonitions					premonições,(3)pressentimento	(125)premonições	premonições,pressentimento								feeling that an event is about to occur																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-premonitions.mp3]					(ˌpri məˈnɪʃ ən, ˌprɛm ə-)	preməˈnɪʃn	ˌpri məˈnɪʃ ən, ˌprɛm ə-							
monk	<u><b>monk</b></u>:monge,frei.	1. a member of a group of religious men living away from other people.	"01.  <font color=""#00aaff""><u>(Biography)</font></u> a variant spelling of <font color=""#00aaff""><u>(George)</font></u> Monck."		(3)monge	(3121)monge	monge	monge	monge,frade	<b>monk</b>  monge					man who devotes life to contemplation of god																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-monk.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-monk.mp3]				(mʌŋk)	mʌŋk	mʌŋk					"<span class=""ipa dipa"">mʌŋk</span>"																	
mild	<u><b>mild</b></u>:suave,brando,ameno,macio,manso,morno,amena,ligeiro.	1. If the weather in winter is mild, it is not cold. <BR>2. Mild food does not have a strong taste.			(3)suave,leve	(696)suave,(1304)leve,(985)ligeiro	suave,temperado,ameno,leve,ligeiro	leve	temperado,ameno,suave,suavidade	<b>mild</b>  <b>1.</b> plácido <b>2.</b>  suave <b>3.</b>  suave <b>4.</b>  brando					gentle, temperate, nonirritating,easygoing, pleasant in personality																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-mild.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-mild.mp3]				(maɪld)	maɪld	maɪld					"<span class=""ipa dipa"">mɑɪld</span>"																	
inventory	<u><b>inventory</b></u>:arrolamento,inventário. <u><b>to inventory</b></u>:inventariar.	1. a list of all the things that are in a place.			(3)inventário	(4646)inventário	inventário,·inventariação	inventário,·inventariação	inventário,relação						list of stock; stock																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-inventory.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-inventory.mp3]				(ˈɪn vənˌtɔr i, -ˌtoʊr i)	ˈɪnvəntrɪ	ˈɪn vənˌtɔr i, -ˌtoʊr i					"<span class=""ipa dipa"">ˈɪn·vənˌtɔr·i</span>"		
doe	<u><b>doe</b></u>:cabra,corça.	1. the female of animals such as the deer or rabbit.			(3)corça,(3)gama	(333)desconhecida		,corça	fêmea,cerva,coelha	<b>doe</b>   fêmea					animal																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-doe.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-doe.mp3]				(doʊ)	dəʊ	doʊ					"<span class=""ipa dipa"">doʊ</span>"																	
committing			"01.  <font color=""#00aaff""><u>(Law)</font></u> to confine officially or take into custody."		comprometendo	(831)cometer	comprometendo,cometer								perform an action,deliver, entrust																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-committing.mp3]					(kəˈmɪt)	kəˈmɪt	kəˈmɪt																						
banging	<u><b>banging</b></u>:percussão.				batendo	(132)comer,(245)bater,(213)batendo	bater								hit or knock loudly,moving by hitting hard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-banging.mp3]						bæŋ	bæŋ																						
asap	<u><b>asap</b></u>:assim que possível	1. abbreviation for as soon as possible.			assim que possível	(299)o mais rápido possível			forma abreviada de “as soon as possible”: o mais rápido possível						fast, speedy,at a tremendous rate																															[sound:7001-8000/cambridge/7001-8000-cambridge-asap.mp3]				(ˈeɪ sæp)	eɪeseɪˈpiː						"<span class=""ipa dipa"">ˌeɪ·es·eɪˈpi</span>"																	
